Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 29 07 46 00 000 -145.00 -1052.00
2003 10 29 07 47 00 000 -141.00 -1043.00
2003 10 29 07 48 00 000 -140.00  -960.00
2003 10 29 07 49 00 000 -140.00  -931.00
2003 10 29 07 50 00 000 -141.00  -858.00
2003 10 29 07 51 00 000 -139.00  -741.00
2003 10 29 07 52 00 000 -142.00  -753.00
2003 10 29 07 53 00 000 -135.00  -715.00
2003 10 29 07 54 00 000 -139.00  -709.00
2003 10 29 07 55 00 000 -143.00  -731.00
2003 10 29 07 56 00 000 -142.00  -746.00
2003 10 29 07 57 00 000 -140.00  -725.00
2003 10 29 07 58 00 000 -143.00  -603.00
2003 10 29 07 59 00 000 -143.00  -531.00
2003 10 29 08 00 00 000 -153.00  -454.00
2003 10 29 08 01 00 000 -150.00  -438.00
2003 10 29 08 02 00 000 -148.00  -373.00
2003 10 29 08 03 00 000 -151.00  -402.00
2003 10 29 08 04 00 000 -148.00  -559.00
2003 10 29 08 05 00 000 -143.00  -511.00
2003 10 29 08 06 00 000 -145.00  -481.00
2003 10 29 08 07 00 000 -145.00  -579.00
2003 10 29 08 08 00 000 -148.00  -696.00
2003 10 29 08 09 00 000 -147.00  -837.00
2003 10 29 08 10 00 000 -149.00 -1052.00
2003 10 29 08 11 00 000 -149.00 -1065.00
2003 10 29 08 12 00 000 -147.00 -1156.00
2003 10 29 08 13 00 000 -145.00 -1145.00
2003 10 29 08 14 00 000 -147.00 -1196.00
2003 10 29 08 15 00 000 -149.00 -1147.00
2003 10 29 08 16 00 000 -147.00 -1229.00
2003 10 29 08 17 00 000 -148.00 -1137.00
2003 10 29 08 18 00 000 -144.00 -1118.00
2003 10 29 08 19 00 000 -148.00 -1095.00
2003 10 29 08 20 00 000 -153.00 -1144.00
2003 10 29 08 21 00 000 -153.00 -1128.00
2003 10 29 08 22 00 000 -151.00 -1182.00
2003 10 29 08 23 00 000 -152.00 -1037.00
2003 10 29 08 24 00 000 -151.00 -1216.00
2003 10 29 08 25 00 000 -150.00 -1232.00
2003 10 29 08 26 00 000 -151.00 -1274.00
2003 10 29 08 27 00 000 -151.00 -1264.00
2003 10 29 08 28 00 000 -151.00 -1343.00
2003 10 29 08 29 00 000 -154.00 -1167.00
2003 10 29 08 30 00 000 -151.00 -1167.00
2003 10 29 08 31 00 000 -156.00 -1182.00
2003 10 29 08 32 00 000 -155.00 -1128.00
2003 10 29 08 33 00 000 -154.00 -1211.00
2003 10 29 08 34 00 000 -156.00 -1316.00
2003 10 29 08 35 00 000 -158.00 -1531.00
2003 10 29 08 36 00 000 -157.00 -1482.00
2003 10 29 08 37 00 000 -159.00 -1366.00
2003 10 29 08 38 00 000 -160.00 -1236.00
2003 10 29 08 39 00 000 -160.00 -1155.00
2003 10 29 08 40 00 000 -163.00 -1326.00
2003 10 29 08 41 00 000 -164.00 -1168.00
2003 10 29 08 42 00 000 -164.00 -1183.00
2003 10 29 08 43 00 000 -166.00 -1221.00
2003 10 29 08 44 00 000 -166.00 -1209.00
2003 10 29 08 45 00 000 -165.00 -1192.00
2003 10 29 08 46 00 000 -164.00 -1183.00
2003 10 29 08 47 00 000 -167.00 -1116.00
2003 10 29 08 48 00 000 -170.00  -963.00
2003 10 29 08 49 00 000 -172.00  -985.00
2003 10 29 08 50 00 000 -173.00  -958.00
2003 10 29 08 51 00 000 -177.00  -966.00
2003 10 29 08 52 00 000 -181.00  -950.00
2003 10 29 08 53 00 000 -192.00  -959.00
2003 10 29 08 54 00 000 -199.00  -823.00
2003 10 29 08 55 00 000 -187.00  -814.00
2003 10 29 08 56 00 000 -202.00 -1175.00
2003 10 29 08 57 00 000 -223.00 -1254.00
2003 10 29 08 58 00 000 -217.00 -1546.00
2003 10 29 08 59 00 000 -211.00 -1616.00
2003 10 29 09 00 00 000 -212.00 -1572.00
2003 10 29 09 01 00 000 -214.00 -1527.00
2003 10 29 09 02 00 000 -212.00 -1610.00
2003 10 29 09 03 00 000 -211.00 -1490.00
2003 10 29 09 04 00 000 -213.00 -1839.00
2003 10 29 09 05 00 000 -211.00 -2164.00
2003 10 29 09 06 00 000 -207.00 -2273.00
2003 10 29 09 07 00 000 -205.00 -2181.00
2003 10 29 09 08 00 000 -204.00 -1924.00
2003 10 29 09 09 00 000 -196.00 -1461.00
2003 10 29 09 10 00 000 -192.00 -1481.00
2003 10 29 09 11 00 000 -190.00 -1563.00
2003 10 29 09 12 00 000 -186.00 -1731.00
2003 10 29 09 13 00 000 -181.00 -1912.00
2003 10 29 09 14 00 000 -185.00 -2172.00
2003 10 29 09 15 00 000 -189.00 -2179.00
2003 10 29 09 16 00 000 -182.00 -2133.00
2003 10 29 09 17 00 000 -180.00 -2271.00
2003 10 29 09 18 00 000 -185.00 -2077.00
2003 10 29 09 19 00 000 -186.00 -1694.00
2003 10 29 09 20 00 000 -183.00 -1543.00
2003 10 29 09 21 00 000 -180.00 -1498.00
2003 10 29 09 22 00 000 -179.00 -1405.00
