Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 30 22 04 00 000 -287.00 -1735.00
2003 10 30 22 05 00 000 -293.00 -1521.00
2003 10 30 22 06 00 000 -301.00 -1615.00
2003 10 30 22 07 00 000 -297.00 -1558.00
2003 10 30 22 08 00 000 -304.00 -1566.00
2003 10 30 22 09 00 000 -314.00 -1746.00
2003 10 30 22 10 00 000 -318.00 -1826.00
2003 10 30 22 11 00 000 -322.00 -1381.00
2003 10 30 22 12 00 000 -321.00 -1344.00
2003 10 30 22 13 00 000 -314.00 -1388.00
2003 10 30 22 14 00 000 -320.00 -1320.00
2003 10 30 22 15 00 000 -321.00 -1430.00
2003 10 30 22 16 00 000 -320.00 -1427.00
2003 10 30 22 17 00 000 -329.00 -1474.00
2003 10 30 22 18 00 000 -334.00 -1361.00
2003 10 30 22 19 00 000 -340.00 -1208.00
2003 10 30 22 20 00 000 -345.00 -1082.00
2003 10 30 22 21 00 000 -356.00 -1008.00
2003 10 30 22 22 00 000 -359.00 -1013.00
2003 10 30 22 23 00 000 -362.00 -1038.00
2003 10 30 22 24 00 000 -362.00  -981.00
2003 10 30 22 25 00 000 -364.00  -865.00
2003 10 30 22 26 00 000 -364.00  -741.00
2003 10 30 22 27 00 000 -364.00  -644.00
2003 10 30 22 28 00 000 -363.00  -628.00
2003 10 30 22 29 00 000 -365.00  -596.00
2003 10 30 22 30 00 000 -363.00  -611.00
2003 10 30 22 31 00 000 -363.00  -573.00
2003 10 30 22 32 00 000 -359.00  -621.00
2003 10 30 22 33 00 000 -365.00  -684.00
2003 10 30 22 34 00 000 -373.00  -647.00
2003 10 30 22 35 00 000 -380.00  -659.00
2003 10 30 22 36 00 000 -381.00  -689.00
2003 10 30 22 37 00 000 -383.00  -722.00
2003 10 30 22 38 00 000 -392.00  -867.00
2003 10 30 22 39 00 000 -401.00 -1002.00
2003 10 30 22 40 00 000 -411.00 -1030.00
2003 10 30 22 41 00 000 -408.00  -920.00
2003 10 30 22 42 00 000 -411.00  -706.00
2003 10 30 22 43 00 000 -420.00  -809.00
2003 10 30 22 44 00 000 -427.00  -832.00
2003 10 30 22 45 00 000 -425.00  -810.00
2003 10 30 22 46 00 000 -421.00  -774.00
2003 10 30 22 47 00 000 -418.00  -747.00
2003 10 30 22 48 00 000 -421.00  -740.00
2003 10 30 22 49 00 000 -421.00  -669.00
2003 10 30 22 50 00 000 -424.00  -628.00
2003 10 30 22 51 00 000 -425.00  -695.00
2003 10 30 22 52 00 000 -423.00  -786.00
2003 10 30 22 53 00 000 -429.00  -792.00
2003 10 30 22 54 00 000 -431.00  -760.00
2003 10 30 22 55 00 000 -432.00  -724.00
2003 10 30 22 56 00 000 -429.00  -672.00
2003 10 30 22 57 00 000 -427.00  -626.00
2003 10 30 22 58 00 000 -427.00  -549.00
2003 10 30 22 59 00 000 -421.00  -492.00
2003 10 30 23 00 00 000 -416.00  -530.00
2003 10 30 23 01 00 000 -413.00  -489.00
2003 10 30 23 02 00 000 -413.00  -468.00
2003 10 30 23 03 00 000 -411.00  -514.00
2003 10 30 23 04 00 000 -406.00  -539.00
2003 10 30 23 05 00 000 -405.00  -556.00
2003 10 30 23 06 00 000 -399.00  -516.00
2003 10 30 23 07 00 000 -397.00  -510.00
2003 10 30 23 08 00 000 -395.00  -391.00
2003 10 30 23 09 00 000 -396.00  -401.00
2003 10 30 23 10 00 000 -398.00  -499.00
2003 10 30 23 11 00 000 -399.00  -391.00
2003 10 30 23 12 00 000 -392.00  -366.00
2003 10 30 23 13 00 000 -389.00  -360.00
2003 10 30 23 14 00 000 -387.00  -372.00
2003 10 30 23 15 00 000 -388.00  -375.00
2003 10 30 23 16 00 000 -391.00  -393.00
2003 10 30 23 17 00 000 -387.00  -402.00
2003 10 30 23 18 00 000 -382.00  -403.00
2003 10 30 23 19 00 000 -382.00  -401.00
2003 10 30 23 20 00 000 -384.00  -362.00
2003 10 30 23 21 00 000 -384.00  -339.00
2003 10 30 23 22 00 000 -385.00  -315.00
2003 10 30 23 23 00 000 -389.00  -284.00
2003 10 30 23 24 00 000 -392.00  -290.00
2003 10 30 23 25 00 000 -393.00  -298.00
2003 10 30 23 26 00 000 -390.00  -340.00
2003 10 30 23 27 00 000 -390.00  -353.00
2003 10 30 23 28 00 000 -395.00  -367.00
2003 10 30 23 29 00 000 -396.00  -375.00
2003 10 30 23 30 00 000 -397.00  -373.00
2003 10 30 23 31 00 000 -400.00  -369.00
2003 10 30 23 32 00 000 -392.00  -316.00
2003 10 30 23 33 00 000 -387.00  -312.00
2003 10 30 23 34 00 000 -386.00  -320.00
2003 10 30 23 35 00 000 -388.00  -342.00
2003 10 30 23 36 00 000 -403.00  -345.00
2003 10 30 23 37 00 000 -394.00  -339.00
2003 10 30 23 38 00 000 -390.00  -315.00
2003 10 30 23 39 00 000 -393.00  -294.00
2003 10 30 23 40 00 000 -388.00  -262.00
2003 10 30 23 41 00 000 -372.00  -426.00
2003 10 30 23 42 00 000 -362.00  -399.00
2003 10 30 23 43 00 000 -359.00  -394.00
2003 10 30 23 44 00 000 -345.00  -378.00
2003 10 30 23 45 00 000 -347.00  -310.00
2003 10 30 23 46 00 000 -346.00  -270.00
2003 10 30 23 47 00 000 -346.00  -295.00
2003 10 30 23 48 00 000 -346.00  -250.00
2003 10 30 23 49 00 000 -337.00  -291.00
2003 10 30 23 50 00 000 -326.00  -355.00
2003 10 30 23 51 00 000 -324.00  -467.00
2003 10 30 23 52 00 000 -320.00  -538.00
2003 10 30 23 53 00 000 -315.00  -608.00
2003 10 30 23 54 00 000 -312.00  -759.00
2003 10 30 23 55 00 000 -306.00  -787.00
2003 10 30 23 56 00 000 -308.00  -728.00
2003 10 30 23 57 00 000 -316.00  -767.00
2003 10 30 23 58 00 000 -311.00  -955.00
2003 10 30 23 59 00 000 -311.00 -1087.00
2003 10 31 00 00 00 000 -313.00  -672.00
2003 10 31 00 01 00 000 -317.00  -623.00
2003 10 31 00 02 00 000 -326.00  -548.00
2003 10 31 00 03 00 000 -332.00  -516.00
2003 10 31 00 04 00 000 -335.00  -579.00
2003 10 31 00 05 00 000 -336.00  -615.00
2003 10 31 00 06 00 000 -331.00  -634.00
2003 10 31 00 07 00 000 -336.00  -592.00
2003 10 31 00 08 00 000 -336.00  -516.00
2003 10 31 00 09 00 000 -329.00  -438.00
2003 10 31 00 10 00 000 -321.00  -402.00
2003 10 31 00 11 00 000 -322.00  -389.00
2003 10 31 00 12 00 000 -321.00  -367.00
2003 10 31 00 13 00 000 -313.00  -407.00
2003 10 31 00 14 00 000 -311.00  -367.00
2003 10 31 00 15 00 000 -308.00  -391.00
